@relation wfc

@attribute UserID numeric
@attribute Time {'Fri Mar 18 13:58:35 +0000 2016','Fri Mar 18 11:48:30 +0000 2016','Fri Mar 18 13:16:14 +0000 2016','Sat Mar 19 18:04:03 +0000 2016','Fri Mar 18 13:16:23 +0000 2016','Fri Mar 18 13:17:09 +0000 2016','Fri Mar 18 14:34:33 +0000 2016','Sat Mar 19 03:31:49 +0000 2016','Sat Mar 19 20:00:24 +0000 2016','Sat Mar 19 18:10:02 +0000 2016','Fri Mar 18 13:17:36 +0000 2016','Fri Mar 18 14:22:31 +0000 2016','Fri Mar 18 15:03:54 +0000 2016'}
@attribute Tweet {'wells fargo reiterates hold rating for charles schwab corp (schw): charles schwab corp (nasdaq:schw)���s stock h... https://t.co/aae4prbrfw','insider selling: wells fargo $wfc director sells $110 345.30 in stock https://t.co/xlrqknslkf','seaworld entertainment (seas) stock upgraded at wells fargo $seas https://t.co/ri9sajqs7d https://t.co/iexqcrfdcq','wfc stock message boardsee here ---&gt; https://t.co/gblfrq28h9$wfc $abco $foxa #stock','$seas:seaworld entertainment (seas) stock upgraded at wells fargo:https://t.co/hu5gprcvpc','seaworld entertainment $seas stock upgraded at wells fargo https://t.co/aipr3utnmg #stockaction','wfc filingssee here ---&gt; https://t.co/qtetkpsqit$wfc $mdco $rtn #stock','wfc +1.63\% stock charts $wfc wells fargo &amp; co. (nyse) last updated: 03/18/2016 22:31:56 wfc stock chart - 1 mo https://t.co/p5brgll98y','charles schwab corp $schw stock rating reaffirmed by wells fargo https://t.co/wu55oxo1cb #acn','ete chartsee here ---&gt; https://t.co/nzrjnprmub$ete $wfc $pen #stockmarket','seaworld entertainment $seas stock upgraded at wells fargo https://t.co/dcwza2es4m','(review): penny stocking silver stock alerts.:. https://t.co/nktm9cxkn1 $nxpi $ixys $hawk $wfc $adtn $zbra $jack','#us stock trends:#banks #financials sprint!#bac +2.84\%; buyback $800mn!#jpm +3.17\%#wfc +1.52\%#gs +2.71\%!#autos #tesla +2.41\%#chrysler +2.17\%'}
@attribute Retweet_Count numeric
@attribute sentiment numeric

@data
103615070,'Fri Mar 18 13:58:35 +0000 2016','wells fargo reiterates hold rating for charles schwab corp (schw): charles schwab corp (nasdaq:schw)���s stock h... https://t.co/aae4prbrfw',0,-1
2348716116,'Fri Mar 18 11:48:30 +0000 2016','insider selling: wells fargo $wfc director sells $110 345.30 in stock https://t.co/xlrqknslkf',0,1
4180020377,'Fri Mar 18 13:16:14 +0000 2016','seaworld entertainment (seas) stock upgraded at wells fargo $seas https://t.co/ri9sajqs7d https://t.co/iexqcrfdcq',0,1
7.06E17,'Sat Mar 19 18:04:03 +0000 2016','wfc stock message boardsee here ---&gt; https://t.co/gblfrq28h9$wfc $abco $foxa #stock',0,0
2341445778,'Fri Mar 18 13:16:23 +0000 2016','$seas:seaworld entertainment (seas) stock upgraded at wells fargo:https://t.co/hu5gprcvpc',0,1
2342591485,'Fri Mar 18 13:17:09 +0000 2016','seaworld entertainment $seas stock upgraded at wells fargo https://t.co/aipr3utnmg #stockaction',0,1
4887069966,'Fri Mar 18 14:34:33 +0000 2016','wfc filingssee here ---&gt; https://t.co/qtetkpsqit$wfc $mdco $rtn #stock',0,0
2243075472,'Sat Mar 19 03:31:49 +0000 2016','wfc +1.63\% stock charts $wfc wells fargo &amp; co. (nyse) last updated: 03/18/2016 22:31:56 wfc stock chart - 1 mo https://t.co/p5brgll98y',0,1
52210566,'Sat Mar 19 20:00:24 +0000 2016','charles schwab corp $schw stock rating reaffirmed by wells fargo https://t.co/wu55oxo1cb #acn',0,-1
4887153620,'Sat Mar 19 18:10:02 +0000 2016','ete chartsee here ---&gt; https://t.co/nzrjnprmub$ete $wfc $pen #stockmarket',0,0
6968182,'Fri Mar 18 13:17:36 +0000 2016','seaworld entertainment $seas stock upgraded at wells fargo https://t.co/dcwza2es4m',0,0
3276176888,'Fri Mar 18 14:22:31 +0000 2016','(review): penny stocking silver stock alerts.:. https://t.co/nktm9cxkn1 $nxpi $ixys $hawk $wfc $adtn $zbra $jack',0,0
4723496155,'Fri Mar 18 15:03:54 +0000 2016','#us stock trends:#banks #financials sprint!#bac +2.84\%; buyback $800mn!#jpm +3.17\%#wfc +1.52\%#gs +2.71\%!#autos #tesla +2.41\%#chrysler +2.17\%',0,1
